stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
759915,"814","Hanover St at State St","",35.571585,-82.582619,0,,0,,
759948,"848","Hanover St at Montana Ave","",35.575452,-82.582383,0,,0,,
759949,"849","Hanover St at Haywood Rd","",35.577679,-82.582237,0,,0,,
759950,"850","Haywood Rd at Michigan Ave","",35.577812,-82.579684,0,,0,,
759951,"851","Haywood Rd at Swannanoa Ave","",35.577684,-82.576378,0,,0,,
759952,"852","Haywood Rd at Elkin St","",35.57841,-82.574587,0,,0,,
759953,"853","Haywood Rd at Brownwood Ave","",35.58007,-82.574082,0,,0,,
759954,"854","Haywood Rd at Avon Ave","",35.581837,-82.57221,0,,0,,
759955,"855","Haywood Rd at Riverview Dr","",35.58406,-82.569838,0,,0,,
759956,"856","Clingman Ave at Roberts St","",35.586947,-82.566054,0,,0,,
759957,"857","Clingman Ave at Owens Bell Ln","",35.589402,-82.563542,0,,0,,
759958,"858","Clingman Ave at Hilliard Ave","",35.591004,-82.56215,0,,0,,
759959,"859","Hilliard Ave at S French Broad Ave","",35.591078,-82.559112,0,,0,,
759911,"810","Hanover St at Haywood Rd","",35.577611,-82.582387,0,,0,,
759912,"811","Hanover St at Montana Ave","",35.575071,-82.582548,0,,0,,
759918,"817","Haywood Rd at Louisiana Ave","",35.57795,-82.590606,0,,0,,
759919,"818","Haywood Rd at Vermont Ave","Sand Hill Rd",35.578415,-82.594063,0,,0,,
759920,"819","Haywood Rd at Blue Ridge Ave","",35.580843,-82.598801,0,,0,,
759921,"820","Haywood Rd at Balsam Ave","West Asheville Library",35.581122,-82.601439,0,,0,,
759922,"821","Haywood Rd at Patton Ave","",35.582306,-82.604772,0,,0,,
759960,"860","Brevard Rd at Haywood Rd","",35.577052,-82.593159,0,,0,,
759961,"861","Brevard Rd at Davenport Rd","",35.572381,-82.59356,0,,0,,
759962,"862","Brevard Rd at Morningside St","",35.568559,-82.593558,0,,0,,
759963,"863","Brevard Rd at Shelburne Rd","",35.565234,-82.594376,0,,0,,
759964,"864","Brevard Rd at I-240","East Exit Ramp",35.563262,-82.593963,0,,0,,
759965,"865","Brevard Rd at S Bear Creek Rd","",35.557996,-82.599089,0,,0,,
759966,"866","Brevard Rd at WNC Farmers Market","",35.554394,-82.599956,0,,0,,
759967,"867","Brevard Rd at Pond Rd","",35.550152,-82.60023,0,,0,,
759968,"869","Brevard Rd at Dogwood Rd","",35.541398,-82.597374,0,,0,,
759969,"870","Brevard Rd at Pine Lane","",35.537231,-82.599336,0,,0,,
759970,"871","Brevard Rd at Rocky Ridge Rd","",35.533287,-82.604163,0,,0,,
759971,"872","Brevard Rd at Ingles","Biltmore Square Mall",35.530771,-82.605786,0,,0,,
759972,"873","Ridgefield Rd at Brevard Rd","",35.526148,-82.605554,0,,0,,
759973,"874","Ridgefield Rd at Biltmore Square Mall","",35.525571,-82.602772,0,,0,,
759974,"875","Ridgefield Rd at Heart Dr","",35.523925,-82.60128,0,,0,,
759975,"876","Ridgefield Rd at Brevard Rd","",35.523822,-82.60661,0,,0,,
759976,"877","Brevard Rd at Sardis Rd","",35.526723,-82.606584,0,,0,,
759977,"878","Brevard Rd at Ingles","Biltmore Square Mall",35.530704,-82.605424,0,,0,,
759978,"879","Brevard Rd at Pine Lane","",35.537141,-82.599072,0,,0,,
759979,"880","Brevard Rd at Dogwood Rd","",35.541393,-82.597091,0,,0,,
759981,"882","Brevard Rd at Pond Rd","",35.550355,-82.600082,0,,0,,
