aggregation,city_bounded,city_name,formatted_value,id,route_id,route_type,sample_period,type,value,version
route,False,Chicago,1.0,1446,28,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1447,119,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.6,1448,136,0,alltime,num_routes,0.595238095238095,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.65,1449,157,0,alltime,num_routes,0.654761904761905,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1299,91,0,weekend,num_routes,1.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1450,146,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
mode,False,Chicago,8.0,1451,,1,alltime,num_routes,7.99997354497354,4dd05d5e-b859-4b04-bbfb-4b3bac872151
mode,False,Chicago,113.11,1452,,3,alltime,num_routes,113.106832010582,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1300,52,0,weekend,num_routes,1.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1301,95E,0,weekend,num_routes,1.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1304,28,0,weekend,num_routes,1.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1305,119,0,weekend,num_routes,1.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1306,146,0,weekend,num_routes,1.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
mode,False,Chicago,8.0,1307,,1,morning,num_routes,8.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
mode,False,Chicago,102.0,1308,,3,morning,num_routes,102.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
mode,False,Chicago,8.0,1309,,1,midday,num_routes,8.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
mode,False,Chicago,124.0,1310,,3,midday,num_routes,124.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
mode,False,Chicago,8.0,1311,,1,evening,num_routes,8.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
mode,False,Chicago,94.0,1312,,3,evening,num_routes,94.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
mode,False,Chicago,8.0,1313,,1,night,num_routes,8.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
mode,False,Chicago,126.0,1314,,3,night,num_routes,126.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
mode,False,Chicago,8.0,1315,,1,weekend,num_routes,8.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
mode,False,Chicago,94.0,1316,,3,weekend,num_routes,94.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.65,1317,205,0,alltime,num_routes,0.654761904761905,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1318,34,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1319,67,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.65,1320,169,0,alltime,num_routes,0.654761904761905,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,0.6,1321,120,0,alltime,num_routes,0.595238095238095,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1322,93,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1323,147,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1324,Brn,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1325,12,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1326,66,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1327,51,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1328,53A,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1329,124,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1330,84,0,alltime,num_routes,0.999996693121693,4dd05d5e-b859-4b04-bbfb-4b3bac872151
